id,year,source,title,url,publication_type,independent,reliability,coverage_of_subject,facts_supported,notability_weight,article_use,status,notes,citation_wikitext
MOL1,2021,MIT Open Learning,The Evolution of Engineering Education Post-COVID-19,https://openlearning.mit.edu/events/evolution-engineering-education-post-covid-19,Event page / panelist bio,Partial,High for event listing and public affiliation; limited as biographical source,"Short professional bio. Event page lists Alderson as Product Manager for MATLAB Grader, MathWorks, and describes his role with MATLAB Grader and online teaching and learning at MathWorks.","Alderson was product manager for MATLAB Grader at MathWorks in Natick, Massachusetts; led MathWorks marketing efforts in online teaching and learning; was previously Principal Analyst for Technology at Eduventures and Lead Architect for Houghton Mifflin Harcourt / Choice P20 Solutions.",Low to Medium,Use for narrow MathWorks and MATLAB Grader professional-context facts; do not use as major notability support.,Verified from downloaded HTML,Reviewed in sources/mit_open_learning_sources.md; local file data/mit_openlearning_engineering_education_post_covid.html,"{{cite web |title=The Evolution of Engineering Education Post-COVID-19 |url=https://openlearning.mit.edu/events/evolution-engineering-education-post-covid-19 |website=MIT Open Learning |date=March 22, 2021 |access-date=June 8, 2026}}"
IEEE1,2018,IEEE vTools Events / IEEE Education Society,WEBINAR: MATLAB Grader for automaticallygraded computational assignments,https://events.vtools.ieee.org/m/183771,Event page / webinar listing,Partial,Medium to High for event metadata; limited as biographical source,"Minor to moderate. Event page lists Jeff Alderson of MathWorks as speaker and gives a short professional bio tied to MATLAB Grader.","Alderson presented on MATLAB Grader for automatically graded computational assignments; he was described as Online Learning Product Marketing at MathWorks and product manager for MATLAB's autograding solution, MATLAB Grader.",Low to Medium,Use only for narrow professional-context evidence; do not use as notability support.,Verified from downloaded HTML,Reviewed in sources/mathworks_matlab_grader_sources.md; local file data/ieee_vtools_183771.html,"{{cite web |title=WEBINAR: MATLAB Grader for automaticallygraded computational assignments |url=https://events.vtools.ieee.org/m/183771 |website=IEEE vTools Events |date=December 13, 2018 |access-date=June 8, 2026}}"
IN4OBE1,2022 / 2025 page,IN4OBE,Detailed Program / Autograded Programming Assignments with MATLAB Grade,https://in4obe.org/detailed-program/,Conference program / event listing,Partial,Medium for event metadata; limited as biographical source,"Minor to moderate. Detailed program lists an autograded programming assignments session with Jeff Alderson as speaker; LinkedIn metadata provides a recorded-webinar trail.","Alderson was listed as speaker for `Autograded Programming Assignments with MATLAB Grade` in Day 1, Track 2: Computing, Engineering & Technology, Theme 3, Topic 4: Automating Assessment and Evaluation.",Low to Medium,Use only for narrow professional-context evidence of presenter role; do not use as notability support.,Verified from downloaded HTML,Reviewed in sources/mathworks_matlab_grader_sources.md; local files data/in4obe_detailed_program.html and data/linkedin_in4obe_empowering_education.html,"{{cite web |title=Detailed Program |url=https://in4obe.org/detailed-program/ |website=IN4OBE |access-date=June 8, 2026}}"
YT1,2024,YouTube / IN4OBE LLC,Autograded Programming Assignments with MATLAB Grade,https://www.youtube.com/watch?v=C-GlXr3MxvQ,Video platform page / recorded webinar,No / platform-hosted,Medium for video metadata; use with event-page corroboration,"Minor. YouTube oEmbed identifies the video title and author as IN4OBE LLC; fetched watch-page data includes Alderson, while LinkedIn and IN4OBE sources provide clearer attribution.","Recorded IN4OBE webinar title and publisher; supporting trail for Alderson's speaker role when paired with IN4OBE/LinkedIn metadata.",Low,"Use only as supporting evidence for the recorded webinar, paired with clearer event metadata.",Verified from oEmbed and downloaded watch HTML,Reviewed in sources/mathworks_matlab_grader_sources.md; local files data/youtube_in4obe_c_glxr3mxvq.html and data/youtube_in4obe_c_glxr3mxvq_oembed.json,"{{cite web |title=Autograded Programming Assignments with MATLAB Grade |url=https://www.youtube.com/watch?v=C-GlXr3MxvQ |website=YouTube |publisher=IN4OBE LLC |access-date=June 8, 2026}}"
MWYT1,Current page access June 8 2026,YouTube / MATLAB channel,Teaching with MATLAB and Simulink,https://www.youtube.com/playlist?list=PLn8PRpmsu08oV_uJZBB7jIemn4-lxN7yL,Official channel playlist,No / affiliated platform source,Medium for playlist metadata; insufficient for Alderson attribution,"Source lead only. Official MATLAB channel playlist contains teaching and MATLAB Grader topics, but fetched playlist metadata does not name Alderson.","Potential lead to MathWorks education-technology videos; does not independently verify Alderson as presenter.",None to Low,Retain as a source-discovery lead; do not cite for Alderson presenter attribution until individual videos or transcripts are reviewed.,Verified playlist metadata; Alderson attribution not verified,Reviewed in sources/mathworks_matlab_grader_sources.md; local file data/youtube_mathworks_playlist_educational_technology.html,Do not cite until individual video attribution is verified
MWS1,Current page access June 8 2026,MathWorks,Search MATLAB and Simulink Videos: Alderson,https://www.mathworks.com/videos/search.html?q=Alderson&page=1,Affiliated site search / source lead,No / affiliated,Medium for source discovery; rendered results not fully available in downloaded HTML,"Source lead only. MathWorks search page shell and broader search API response were fetched; API response included MathWorks video results but was broader than the rendered video-only results.","Potential lead to MathWorks video pages associated with Alderson; exact page-level presenter metadata remains to be verified.",None to Low,Retain as a source-discovery lead; use exact video detail pages only after verification.,Partially verified from downloaded page shell and local API response,Reviewed in sources/mathworks_matlab_grader_sources.md; local files data/mathworks_video_search_alderson_page1.html and data/mathworks_video_search_alderson_results.json,Do not cite until exact video pages are verified
MWV1,2026,MathWorks,Enhancing Teaching and Learning with MATLAB Copilot and Simulink Copilot,https://www.mathworks.com/videos/enhancing-teaching-and-learning-with-generative-ai-and-matlab-1758823408469.html,Affiliated video page / speaker bio,No / affiliated,High for MathWorks page metadata and speaker-bio text; limited as biographical source,"Minor to moderate. MathWorks video page includes a speaker bio for Jeff Alderson, identifies him as Education Product Manager at MathWorks, and states that he received a B.S. from WPI and an M.Ed. in Education Policy, Organization & Leadership from the University of Illinois at Urbana-Champaign.","Alderson earned a Master of Education in education policy, organization, and leadership from the University of Illinois Urbana-Champaign; he was Education Product Manager at MathWorks and led marketing efforts for MATLAB Grader and MATLAB Course Designer.",Low,Use for the narrow education item and MathWorks professional-context facts; do not use as notability support.,Verified from downloaded HTML,Reviewed in sources/mathworks_matlab_grader_sources.md; local file data/mathworks_video_enhancing_teaching_learning_generative_ai_matlab.html,"{{cite web |title=Enhancing Teaching and Learning with MATLAB Copilot and Simulink Copilot |url=https://www.mathworks.com/videos/enhancing-teaching-and-learning-with-generative-ai-and-matlab-1758823408469.html |website=MathWorks |date=May 28, 2026 |access-date=June 8, 2026}}"
UIUC1,2020,University of Illinois at Urbana-Champaign / Digication,Jeff Alderson Instructional Design,https://illinois.digication.com/jeff-alderson-instructional-design/welcome,Institution-hosted portfolio,Partial / subject-created portfolio on institutional platform,Medium for platform metadata; limited for biographical facts,"Minor. UIUC Digication page metadata identifies the system as University of Illinois at Urbana-Champaign, the published portfolio title as `Jeff Alderson Instructional Design`, and the welcome page as published. A related course page is titled `EPOL 483 Learning Technologies`.","Alderson had a published instructional-design portfolio hosted in the University of Illinois at Urbana-Champaign Digication system during graduate classwork context; the page does not itself verify the completed degree.",None to Low,Retain as supporting education/portfolio context only; do not use as notability support or as the primary degree citation.,Verified from downloaded HTML,Reviewed in sources/education_sources.md; local files data/uiuc_digication_jeff_alderson_instructional_design_welcome.html and data/uiuc_digication_jeff_alderson_epol_483_learning_technologies.html,"{{cite web |title=Jeff Alderson Instructional Design |url=https://illinois.digication.com/jeff-alderson-instructional-design/welcome |website=University of Illinois at Urbana-Champaign Digication |access-date=June 8, 2026}}"
RG1,Current page access June 8 2026,ResearchGate,Jeffrey Alderson scientific contributions,https://www.researchgate.net/scientific-contributions/Jeffrey-Alderson-2273994673,Publication-list / profile source lead,No / profile platform,Low for article facts; direct local fetch blocked,"Source lead only. ResearchGate page was identified as a publication-list/profile lead, but direct local fetch returned HTTP 403 and page details were not verified locally.","Potential lead to Alderson's published articles; use underlying publication records instead of the profile page when possible.",None,Retain only as a publication-list lead; do not cite in article until page or underlying publication records are reviewed.,Blocked / unverified; HTTP 403 on direct local fetch,Reviewed in sources/affiliated_profile_sources.md and sources/mathworks_matlab_grader_sources.md; no local HTML saved,Do not cite until verified
M1,2025,MetroWest Daily News,Outgoing Natick moderator expresses thanks to dedicated volunteers in town government,https://www.metrowestdailynews.com/story/opinion/letters/2025/01/18/natick-town-moderator-frank-w-foss-stepping-down-this-spring-letter-to-the-editor/77592542007/,Letter to the editor / local opinion,Partial / opinion,Medium for attributed opinion; low for notability,Letter by outgoing moderator Frank Foss. Mentions Alderson as hoped-for next moderator and gives Foss opinion of him.,Foss publicly supported Alderson as successor; use only as attributed opinion.,Low,Do not use for notability; avoid in draft unless carefully attributed as Foss opinion.,Direct MetroWest site-search result; verified from downloaded article body,Reviewed in sources/metrowest_daily_news_sources.md; local file data/metrowest_01_outgoing_moderator_letter.html,"{{cite web |title=Outgoing Natick moderator expresses thanks to dedicated volunteers in town government |url=https://www.metrowestdailynews.com/story/opinion/letters/2025/01/18/natick-town-moderator-frank-w-foss-stepping-down-this-spring-letter-to-the-editor/77592542007/ |website=MetroWest Daily News |date=January 18, 2025 |access-date=June 8, 2026}}"
M2,2025,MetroWest Daily News,$7M override is Natick's top issue in March 25 election. What else is on the ballot?,https://www.metrowestdailynews.com/story/news/politics/elections/local/2025/03/24/natick-ma-voters-decide-on-7-million-dollar-override-town-school-races-march-25-annual-town-election/82590025007/,Local election news,Yes,Medium for local election facts,Election preview. Lists Jeffrey Alderson for a three-year town moderator term and notes Frank Foss was stepping down after 18 years.,Alderson was listed for a three-year Town Moderator term; Foss was stepping down after 18 years.,Low,Useful corroboration for candidacy and term; optional because Natick Report already verifies this.,Supplemental related MetroWest result; verified from downloaded article body,Reviewed in sources/metrowest_daily_news_sources.md; local file data/metrowest_01_natick_voters_decide_override.html,"{{cite web |title=$7M override is Natick's top issue in March 25 election. What else is on the ballot? |url=https://www.metrowestdailynews.com/story/news/politics/elections/local/2025/03/24/natick-ma-voters-decide-on-7-million-dollar-override-town-school-races-march-25-annual-town-election/82590025007/ |website=MetroWest Daily News |date=March 24, 2025 |access-date=June 8, 2026}}"
M3,2025,MetroWest Daily News,"Natick voters decide on $7 million override, municipal races. Here are the results",https://www.metrowestdailynews.com/story/news/politics/elections/local/2025/03/25/7-million-dollar-tax-override-passes-march-25-natick-ma-town-election/82419467007/,Local election news,Yes,Medium for local election facts,"Election results article. Lists Jeffrey Alderson as town moderator for a three-year term with 4,764 votes.","Alderson received 4,764 votes for a three-year Town Moderator term; 7,775 ballots were cast according to Town Clerk results.",Low to Medium,Useful corroboration for election result; stronger than the election preview for vote/result detail.,Supplemental related MetroWest result; verified from downloaded article body,Reviewed in sources/metrowest_daily_news_sources.md; local file data/metrowest_02_override_passes_election.html,"{{cite web |title=Natick voters decide on $7 million override, municipal races. Here are the results |url=https://www.metrowestdailynews.com/story/news/politics/elections/local/2025/03/25/7-million-dollar-tax-override-passes-march-25-natick-ma-town-election/82419467007/ |website=MetroWest Daily News |date=March 26, 2025 |access-date=June 8, 2026}}"
S7,2026,Natick Veterans Oral History Project,"Jeff Alderson, Air Force veteran",https://natickveterans.com/2026/01/29/jeffrey-alderson/,Local oral history/archive profile,Partial,Medium for non-contentious service facts; likely based on subject interview/archive intake,Short biographical entry.,Joined U.S. Air Force in 1998 after WPI on Air Force scholarship; electrical and computer engineering; deployed twice to the Middle East; left in 2003 as captain.,Low to Medium,Early life and military service,Verified from downloaded HTML,Treat as primary-adjacent for BLP; use sparingly.,"{{cite web |title=Jeff Alderson, Air Force veteran |url=https://natickveterans.com/2026/01/29/jeffrey-alderson/ |website=Natick Veterans Oral History Project |date=January 29, 2026 |access-date=June 8, 2026}}"
S8,2015,PESC,Awards - PESC Board of Directors Recipients,https://pesc.org/awards/,Organizational award list,No or partial,Medium for the award list,"Minor. Lists Jeffrey Alderson, ConnectEDU among 2015 recipients.",Alderson received a PESC Board of Directors award in 2015 while affiliated with ConnectEDU.,Low,"Awards, if included",Verified from downloaded HTML,Primary organizational source; weak for notability.,"{{cite web |title=Awards - PESC Board of Directors Recipients |url=https://pesc.org/awards/ |website=PESC |access-date=June 8, 2026}}"
PESCBOARD2011,2011,PESC / South Carolina Transfer & Articulation Center,PESC Award Letter to South Carolina,https://www.sctrac.org/portals/8/SCFiles/PESC_AwardLetterSC.pdf,Award letter / organizational record,No or partial,Medium for board-listing facts; primary/organizational for PESC context,"Minor. Letter includes a sidebar headed `2010-2011 Board of Directors` listing `JEFFREY ALDERSON, ConnectEDU, Inc.`.","Alderson was listed as a member of the PESC 2010-2011 Board of Directors while affiliated with ConnectEDU.",Low,Use only for narrow PESC board-membership evidence; not a notability anchor.,Verified from downloaded PDF and extracted text,Reviewed in sources/pesc_sources.md; local files data/pesc_2010_2011_board_award_letter_sc.pdf and data/pesc_2010_2011_board_award_letter_sc.txt,"{{cite web |title=PESC Award Letter to South Carolina |url=https://www.sctrac.org/portals/8/SCFiles/PESC_AwardLetterSC.pdf |website=South Carolina Transfer & Articulation Center |publisher=Postsecondary Electronic Standards Council |date=March 24, 2011 |access-date=June 8, 2026}}"
PESC2011,2011,PESC,Spring 2011 Program Full - Boston,https://pesc.org/wp-content/uploads/2024/07/Spring-2011-Program-Full-Boston.pdf,Conference program / organizational event record,No or partial,Medium for event-program facts; primary/organizational for PESC context,"Minor. Program lists Alderson as Director of Development at ConnectEDU and a PESC Board of Directors member in the general session `Welcome to the Commonwealth of Massachusetts`; the same session also lists Jane Swift as Senior Vice President of Government Relations at ConnectEDU and former Massachusetts governor.","Alderson was listed as Director of Development at ConnectEDU and PESC Board of Directors member in the PESC Spring 2011 Data Summit program; Jane Swift was also listed as a ConnectEDU executive in the same session.",Low,Use only for narrow PESC board / ConnectEDU role context; do not describe Alderson as keynote speaker based on this source.,Verified from downloaded PDF and extracted text,Reviewed in sources/pesc_sources.md; local files data/pesc_spring_2011_program_full_boston.pdf and data/pesc_spring_2011_program_full_boston.txt,"{{cite conference |title=Spring 2011 Program Full - Boston |conference=PESC Spring 2011 Data Summit |publisher=Postsecondary Electronic Standards Council |date=2011 |url=https://pesc.org/wp-content/uploads/2024/07/Spring-2011-Program-Full-Boston.pdf |access-date=June 8, 2026}}"
NCES2011,2011,NCES / STATS-DC,2011 STATS-DC Data Conference agenda,https://nces.ed.gov/whatsnew/conferences/PDF/STATSDC2011Agenda.pdf,Government conference agenda,Partial,High for agenda metadata; event listing only for biographical facts,"Minor to moderate. Agenda lists session `VII-C Best Practices in Linking PK-12 and Higher Education` with Michael Sessa of PESC, David Moldoff of AcademyOne, and Jeffrey Alderson of ConnectEDU. The session description says PESC would present recent best practices using PESC-approved standards and technologies.","Alderson co-presented in a STATS-DC session on linking PK-12 and higher education data, in a session framed around PESC-approved standards and technologies.",Low to Medium,Use only for narrow PESC/data-standards conference context; do not state that the agenda lists him as a PESC employee or board representative.,Verified from downloaded PDF and extracted text,Reviewed in sources/pesc_sources.md; local files data/nces_statsdc_2011_agenda.pdf and data/nces_statsdc_2011_agenda.txt,"{{cite conference |title=2011 STATS-DC Data Conference agenda |conference=STATS-DC Data Conference |publisher=National Center for Education Statistics |date=2011 |url=https://nces.ed.gov/whatsnew/conferences/PDF/STATSDC2011Agenda.pdf |access-date=June 8, 2026}}"
PESC2012,2012,PESC,PESC Spring 2012 Data Summit program,https://nebula.wsimg.com/ab98b6bb89dd32b40efd76843c5817aa?AccessKeyId=4CF7FAE11697F99C9E6B&disposition=0&alloworigin=1,Conference program / organizational event record,No or partial,Medium for event-program facts; primary/organizational for PESC context,"Minor to moderate. Program lists `MyDataButton | Jeffrey Alderson, Senior Director of Product Innovation, ConnectEDU` and says PESC Board Member Alderson would discuss the role he and ConnectEDU were playing in a joint White House/U.S. Department of Education initiative.","Alderson presented on MyDataButton at the PESC Spring 2012 Data Summit; the program tied him and ConnectEDU to a joint White House/U.S. Department of Education initiative about student access to data.",Low to Medium,Use only for narrow MyDataButton / ConnectEDU / PESC professional-context facts; not a notability anchor.,Verified from downloaded PDF and extracted text,Reviewed in sources/pesc_sources.md; local files data/pesc_2012_data_summit_program_my_data_button.pdf and data/pesc_2012_data_summit_program_my_data_button.txt,"{{cite conference |title=PESC Spring 2012 Data Summit program |conference=PESC Spring 2012 Data Summit |publisher=Postsecondary Electronic Standards Council |date=2012 |url=https://nebula.wsimg.com/ab98b6bb89dd32b40efd76843c5817aa?AccessKeyId=4CF7FAE11697F99C9E6B&disposition=0&alloworigin=1 |access-date=June 8, 2026}}"
ERUG1,2012,PESC / Education Record User Group,PESC ERUG Conference Call Notes for April 24 2012,https://cdn.cocodoc.com/cocodoc-form-pdf/pdf/44678435--2012-04-24-PESC-ERUG-Call-Notespdf-pesc-.pdf,Call notes / organizational working-group record,No or partial,Medium for call-note facts; primary/organizational for ERUG context,"Moderate for narrow ERUG involvement. Call notes list Alderson as Director of Development at ConnectEDU and PESC Board of Directors member; they say he had suggested potential use of MyData in PESC XML work and briefed ERUG on the White House/U.S. Department of Education initiative.","Alderson was involved with the PESC Education Record User Group discussion of MyData; he briefed the group on the White House/U.S. Department of Education initiative and answered technical/product questions.",Low to Medium,Use only for narrow ERUG / MyData involvement facts; not a notability anchor.,Verified from downloaded PDF and extracted text,Reviewed in sources/pesc_sources.md; local files data/pesc_2012_erug_call_notes.pdf and data/pesc_2012_erug_call_notes.txt,"{{cite web |title=PESC ERUG Conference Call Notes for April 24, 2012 |url=https://cdn.cocodoc.com/cocodoc-form-pdf/pdf/44678435--2012-04-24-PESC-ERUG-Call-Notespdf-pesc-.pdf |website=PESC Education Record User Group |date=April 24, 2012 |access-date=June 8, 2026}}"
